,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,As It Was,As It Was,Harry Styles,2022-03-31,2.7883833333333334,96,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
1,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,2.47475,97,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
2,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,10.2171,85,0.631,0.274,0.518,0.0,0.088,-8.771,0.0303,93.023,4
3,About Damn Time,About Damn Time,Lizzo,2022-04-14,3.197033333333333,90,0.836,0.0995,0.743,0.0,0.335,-6.305,0.0656,108.966,4
4,Awkward,Ctrl (Deluxe),SZA,2022-06-09,2.966666666666667,78,0.618,0.182,0.474,0.000122,0.108,-12.097,0.0789,119.999,4
5,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,4.835766666666666,84,0.369,0.0194,0.467,0.46,0.109,-9.018,0.0274,94.473,4
6,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo,2022-04-08,3.6113333333333335,88,0.697,0.598,0.336,0.00528,0.107,-10.395,0.0424,82.029,3
7,august,folklore,Taylor Swift,2020-07-24,4.365366666666667,87,0.532,0.538,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4
8,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,2.76365,84,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4
9,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,3.214,92,0.733,0.121,0.67,0.0,0.121,-6.009,0.0751,100.964,4
10,After Dark,Time,Mr.Kitty,2014-10-06,4.3191,86,0.585,0.0696,0.595,0.266,0.0837,-10.444,0.0328,140.037,4
11,Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,3.459,84,0.582,0.577,0.568,0.0,0.105,-7.3,0.0275,121.991,3
12,Another Love,Long Way Down,Tom Odell,2013-09-17,4.072666666666667,73,0.445,0.695,0.537,1.6e-05,0.0941,-8.532,0.04,122.764,4
13,Antarctica,Antarctica,$uicideboy$,2016-01-26,2.1141666666666667,81,0.715,0.553,0.633,4.45e-06,0.0905,-6.869,0.0804,105.945,5
14,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,3.1648833333333335,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4
15,ALL MINE,WASTELAND,Brent Faiyaz,2022-07-08,3.6010333333333335,81,0.617,0.428,0.378,9.16e-05,0.11,-8.54,0.0315,141.967,4
16,"...And to Those I Love, Thanks for Sticking Around",Stop Staring At the Shadows,$uicideboy$,2020-02-14,2.80815,83,0.792,0.124,0.511,9.04e-05,0.14,-6.876,0.0409,113.983,4
17,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
18,Atlantis,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,3.81955,90,0.4,0.0529,0.479,2.14e-06,0.115,-7.989,0.0308,166.159,4
19,ARE WE STILL FRIENDS?,IGOR,"Tyler, The Creator",2019-05-17,4.424666666666667,82,0.216,0.128,0.497,2.39e-06,0.111,-8.025,0.0371,187.308,3
20,All Your'n,Country Squire,Tyler Childers,2019-08-02,3.638,78,0.585,0.408,0.55,3.97e-05,0.115,-7.342,0.0255,78.176,4
21,As It Was,Harry's House,Harry Styles,2022-05-20,2.7883833333333334,93,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
22,She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-04-08,3.4351,83,0.607,0.124,0.912,0.0,0.332,-3.449,0.0611,134.944,4
23,abcdefu,abcdefu,GAYLE,2021-08-13,2.810016666666667,87,0.695,0.299,0.54,0.0,0.367,-5.692,0.0493,121.932,4
24,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,3.0064333333333333,85,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4
25,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,2.213,80,0.778,0.175,0.695,0.0,0.15,-6.865,0.0913,149.996,4
26,Alien Blues,Gawk,Vundabar,2015-07-24,2.598883333333333,83,0.467,0.0807,0.757,0.908,0.0876,-5.093,0.033,82.282,4
27,Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,2019-09-13,4.080066666666666,89,0.466,0.000235,0.9,0.00104,0.103,-4.469,0.0447,130.02,4
28,BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,1.6547,90,0.9,0.115,0.509,1.67e-06,0.0937,-6.647,0.257,100.007,4
29,All Falls Down,The College Dropout,Kanye West,2004-02-10,3.7251,82,0.657,0.149,0.734,0.0,0.139,-4.832,0.484,91.03,4
30,a lot,i am > i was,21 Savage,2018-12-21,4.8104,81,0.837,0.0395,0.636,0.00125,0.342,-7.643,0.086,145.972,4
31,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,3.2159333333333335,85,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
32,Alright,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,3.65555,81,0.796,0.0742,0.766,0.0,0.0827,-5.974,0.238,110.034,4
33,505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,4.2264333333333335,84,0.52,0.00237,0.852,5.79e-05,0.0733,-5.866,0.0543,140.267,4
34,Crazy Rap (Colt 45 & 2 Zig Zags),The Good Times,Afroman,2001-08-28,5.477766666666667,75,0.927,0.325,0.367,0.0,0.132,-7.797,0.382,99.053,4
35,Al Final,Al Final,Chris Jonex,2022-08-26,2.2568166666666665,80,0.597,0.844,0.358,0.0,0.114,-7.946,0.0277,109.96,4
36,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-09-22,3.5095833333333335,91,0.637,0.148,0.715,0.0,0.0892,-4.971,0.0455,141.872,4
37,World's Smallest Violin,OK ORCHESTRA,AJR,2021-03-26,3.012366666666667,79,0.68,0.116,0.696,0.0,0.607,-6.977,0.051,115.962,4
38,ALIEN SUPERSTAR,RENAISSANCE,Beyoncé,2022-07-29,3.5909833333333334,85,0.545,0.00453,0.641,6.59e-05,0.171,-6.398,0.0998,121.892,4
39,Pink + White,Blonde,Frank Ocean,2016-08-20,3.075266666666667,85,0.545,0.667,0.545,5.48e-05,0.417,-7.362,0.107,159.94,3
40,Attention,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,3.0011,88,0.811,0.236,0.648,0.0,0.0761,-3.684,0.0368,104.988,4
41,just like heaven,brightside bonus tracks,The Lumineers,2022-05-13,3.40005,57,0.336,0.984,0.229,0.00217,0.0934,-11.079,0.034,68.991,4
42,Andrea,Un Verano Sin Ti,Bad Bunny,2022-05-06,5.660183333333333,87,0.797,0.762,0.616,0.000293,0.0979,-10.229,0.375,103.071,4
43,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.5747666666666666,93,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4
44,Bad To Me,Bad To Me,Wizkid,2022-09-13,2.9475,74,0.859,0.07,0.822,0.0144,0.101,-5.005,0.0467,110.045,4
45,Adore You,Fine Line,Harry Styles,2019-12-13,3.4522166666666667,86,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,4
46,Guren no Yumiya,Shingeki no Kiseki,Linked Horizon,2017,5.178,67,0.455,0.0232,0.952,5.65e-05,0.0662,-6.382,0.0787,90.365,4
47,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,2.4257,86,0.897,0.0852,0.662,0.0,0.534,-6.903,0.292,112.511,4
48,Tourner Dans Le Vide,Mini World,Indila,2014-01-01,4.10155,79,0.594,0.103,0.698,0.0,0.173,-8.645,0.0428,119.991,4
49,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,3.8697666666666666,83,0.698,0.0605,0.633,0.000194,0.0926,-4.946,0.0597,96.924,4
50,Bad Habit,Bad Habit,Steve Lacy,2022-06-29,3.8685666666666667,93,0.686,0.626,0.507,7.51e-05,0.383,-7.097,0.0357,168.955,4
51,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.9761166666666665,98,0.911,0.0901,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,4
52,Bound 2,Yeezus,Kanye West,2013-06-18,3.8191,89,0.367,0.145,0.665,0.0,0.113,-2.821,0.0465,148.913,4
53,Static,Gemini Rights,Steve Lacy,2022-07-15,2.608433333333333,88,0.335,0.434,0.305,0.631,0.101,-12.661,0.0741,79.001,5
54,Betty (Get Money),Betty (Get Money),Yung Gravy,2022-06-10,2.4411666666666667,88,0.723,0.00524,0.772,1.15e-05,0.367,-6.784,0.0792,102.004,4
55,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,2.9206333333333334,99,0.561,0.00383,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,4
56,Baby Shark,Pinkfong Animal Songs,Pinkfong,2017-07-27,1.3487833333333332,77,0.829,0.259,0.886,0.0,0.0559,-1.746,0.112,115.056,4
57,BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,1.6547,90,0.9,0.115,0.509,1.67e-06,0.0937,-6.647,0.257,100.007,4
58,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.061933333333333,98,0.65,0.0993,0.715,0.000291,0.126,-5.198,0.253,106.672,4
59,Blinding Lights,After Hours,The Weeknd,2020-03-20,3.334,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
60,Bad Habit,Gemini Rights,Steve Lacy,2022-07-15,3.867766666666667,90,0.686,0.613,0.494,5.8e-05,0.402,-7.093,0.0355,168.946,4
61,Buy Dirt,Buy Dirt,Jordan Davis,2021-05-21,2.791333333333333,81,0.586,0.639,0.559,0.0,0.0872,-6.725,0.05,177.945,4
62,"Sex, Drugs, Etc.",Chit Chat,Beach Weather,2016-11-04,3.279733333333333,90,0.572,0.013,0.839,0.00976,0.522,-5.083,0.0377,143.969,4
63,Boyfriend,Boyfriend,Dove Cameron,2022-02-11,2.55,87,0.345,0.232,0.612,0.0,0.194,-6.543,0.0608,179.773,3
64,ball w/o you,i am > i was,21 Savage,2018-12-21,3.250766666666667,82,0.892,0.0467,0.633,0.000189,0.139,-7.471,0.0902,137.994,4
65,Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,3.8002166666666666,89,0.369,0.555,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,3
66,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,3.0484333333333336,90,0.801,0.0777,0.601,3.23e-05,0.145,-7.574,0.255,159.969,4
67,Bones,Bones,Imagine Dragons,2022-03-11,2.7544,90,0.773,0.0206,0.742,0.0,0.0754,-3.678,0.046,114.071,4
68,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.5510166666666665,96,0.801,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4
69,ALL MINE,WASTELAND,Brent Faiyaz,2022-07-08,3.6010333333333335,81,0.617,0.428,0.378,9.16e-05,0.11,-8.54,0.0315,141.967,4
70,Beautiful Crazy,This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,3.22,80,0.551,0.676,0.402,0.0,0.0928,-7.431,0.0262,103.313,4
71,HONEST,DIE FOR MY BITCH,Baby Keem,2019-07-19,2.877866666666667,84,0.676,0.403,0.536,3.37e-05,0.105,-8.79,0.0432,79.037,4
72,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24,2.6776,83,0.717,0.0018,0.671,2.54e-06,0.0921,-5.077,0.0337,110.054,4
73,La Bachata,La Bachata,Manuel Turizo,2022-05-26,2.7106166666666667,98,0.835,0.583,0.679,1.98e-06,0.218,-5.329,0.0364,124.98,4
74,TV,Guitar Songs,Billie Eilish,2022-07-21,4.689666666666667,85,0.412,0.83,0.236,0.00653,0.147,-15.159,0.0379,140.214,4
75,Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,2013-07-01,1.65355,82,0.596,0.0199,0.678,0.004,0.418,-5.18,0.0335,117.066,4
76,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,3.3156166666666667,99,0.621,0.0125,0.782,0.033,0.23,-5.548,0.044,128.033,4
77,Beat the Odds,Beat the Odds,Lil Tjay,2022-08-26,2.5,82,0.498,0.054,0.625,0.0,0.175,-7.452,0.342,84.821,4
78,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.098983333333333,95,0.804,0.294,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,4
79,CUFF IT,RENAISSANCE,Beyoncé,2022-07-29,3.756466666666667,93,0.78,0.0368,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,4
80,"Burn, Burn, Burn","Burn, Burn, Burn",Zach Bryan,2022-09-08,4.480933333333334,77,0.508,0.897,0.296,5e-05,0.11,-10.513,0.0755,82.532,4
81,Mr. Brightside,Hot Fuss,The Killers,2004,3.7162166666666665,87,0.352,0.00121,0.911,0.0,0.0995,-5.23,0.0747,148.033,4
82,Blank Space,1989,Taylor Swift,2014-10-27,3.863766666666667,77,0.753,0.085,0.678,1.64e-06,0.13,-5.421,0.0644,96.006,4
83,In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,3.2244333333333333,77,0.902,0.26,0.72,0.0,0.0749,-2.776,0.347,90.059,4
84,BEST INTEREST,BEST INTEREST,"Tyler, The Creator",2020-01-25,2.1320166666666664,80,0.596,0.0861,0.575,0.000153,0.334,-8.325,0.0514,98.265,3
85,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,3.2159333333333335,85,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
86,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,2012-12-07,3.5637666666666665,87,0.612,0.932,0.28,0.0,0.088,-8.648,0.0434,72.795,4
87,Bad Habits,=,Ed Sheeran,2021-10-29,3.8457666666666666,89,0.807,0.0451,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,4
88,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.304966666666667,96,0.647,0.08,0.686,1.34e-06,0.528,-5.745,0.0413,79.928,4
89,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,4.98165,89,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
90,Beer Never Broke My Heart,What You See Is What You Get,Luke Combs,2019-11-08,3.112216666666667,79,0.538,0.0139,0.863,0.0,0.0874,-4.483,0.0481,77.001,4
91,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
92,Space Song,Depression Cherry,Beach House,2015-08-28,5.3411,81,0.508,0.229,0.792,0.124,0.145,-7.311,0.0297,147.067,4
93,Broken Clocks,Ctrl,SZA,2017-06-09,3.854216666666667,80,0.692,0.131,0.684,0.0,0.156,-7.364,0.155,112.912,4
94,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.5747666666666666,93,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4
95,I Want It That Way,Millennium,Backstreet Boys,1999-05-18,3.5551,82,0.689,0.257,0.694,0.0,0.148,-5.83,0.027,99.039,4
96,Believer,Evolve,Imagine Dragons,2017-06-23,3.4057666666666666,89,0.776,0.0622,0.78,0.0,0.081,-4.374,0.128,124.949,4
97,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,3.9402166666666667,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4
98,Brown Sleep Noise,Brown Sleep Noise,Sleep Miracle,2020-12-16,4.133333333333334,80,0.0555,0.116,0.0837,1.0,0.112,-30.397,0.147,59.509,4
99,Best I Ever Had,So Far Gone,Drake,2009,4.294833333333333,78,0.395,0.19,0.922,0.0,0.134,-2.176,0.375,162.361,4
100,CUFF IT,RENAISSANCE,Beyoncé,2022-07-29,3.756466666666667,93,0.78,0.0368,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,4
101,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
102,Cbat,Satin Panthers,Hudson Mohawke,2011-08-15,2.862,69,0.58,0.0042,0.52,0.831,0.0904,-5.999,0.42,159.722,4
103,Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,3.806216666666667,90,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,3
104,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,3.214,92,0.733,0.121,0.67,0.0,0.121,-6.009,0.0751,100.964,4
105,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,3.588,88,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
106,Under The Influence,Indigo (Extended),Chris Brown,2019-10-04,3.0768833333333334,96,0.733,0.0635,0.69,1.18e-06,0.105,-5.529,0.0427,116.992,4
107,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,3.9886166666666667,92,0.801,0.382,0.806,0.000669,0.114,-5.206,0.0381,106.999,4
108,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.9761166666666665,98,0.911,0.0901,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,4
109,The Color Violet,Alone At Prom,Tory Lanez,2021-12-10,3.7744333333333335,85,0.645,0.157,0.534,0.0,0.0863,-10.8,0.0479,105.02,4
110,Chasin' You,If I Know Me,Morgan Wallen,2018-04-27,3.4242166666666667,80,0.631,0.657,0.591,0.0,0.11,-5.785,0.0277,97.074,4
111,She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-04-08,3.4351,83,0.607,0.124,0.912,0.0,0.332,-3.449,0.0611,134.944,4
112,Tennessee Whiskey,Traveller,Chris Stapleton,2015-05-04,4.888216666666667,82,0.392,0.205,0.37,0.0096,0.0821,-10.888,0.0298,48.718,4
113,Cruel Summer,Lover,Taylor Swift,2019-08-23,2.9737666666666667,86,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,169.994,4
114,First Class,First Class,Jack Harlow,2022-04-08,2.8991166666666666,87,0.905,0.0254,0.563,9.71e-06,0.113,-6.135,0.102,106.998,4
115,Crazy Rap (Colt 45 & 2 Zig Zags),The Good Times,Afroman,2001-08-28,5.477766666666667,75,0.927,0.325,0.367,0.0,0.132,-7.797,0.382,99.053,4
116,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,3.4793333333333334,80,0.636,0.0807,0.676,0.0,0.0831,-3.442,0.0263,113.98,4
117,La Corriente,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.3061166666666666,91,0.663,0.229,0.786,0.0,0.219,-3.51,0.195,196.12,4
118,Gangsta's Paradise,Gangsta's Paradise,Coolio,1995-11-07,4.01155,89,0.647,0.0655,0.514,0.0,0.398,-10.05,0.0593,79.975,4
119,Cash In Cash Out,Cash In Cash Out,Pharrell Williams,2022-06-10,3.60225,81,0.877,0.00721,0.56,1.45e-06,0.0839,-3.751,0.0596,119.971,4
120,LA CANCIÓN,OASIS,J Balvin,2019-06-28,4.042883333333333,89,0.754,0.152,0.646,1.85e-05,0.108,-5.795,0.317,176.089,4
121,cardigan,folklore,Taylor Swift,2020-07-24,3.9926666666666666,83,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
122,Cover Me Up,Dangerous: The Double Album,Morgan Wallen,2021-01-08,4.8951,79,0.549,0.232,0.44,7.37e-06,0.107,-8.192,0.0264,128.01,3
123,Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,2019-09-13,4.080066666666666,89,0.466,0.000235,0.9,0.00104,0.103,-4.469,0.0447,130.02,4
124,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,3.1256833333333334,81,0.935,0.0194,0.454,0.0,0.0824,-7.509,0.375,133.073,4
125,Clouded,Fuck The World,Brent Faiyaz,2020-02-07,1.8354666666666666,81,0.583,0.774,0.344,0.0,0.143,-8.765,0.0559,65.203,3
126,Chicago,XSCAPE,Michael Jackson,2014-05-09,4.0917666666666666,80,0.608,0.0784,0.756,0.0,0.187,-2.675,0.176,176.086,4
127,C U Girl,C U Girl,Steve Lacy,2015-02-15,2.1616166666666667,80,0.414,0.663,0.473,0.0523,0.128,-8.911,0.116,100.0,4
128,Creep,Pablo Honey,Radiohead,1993-02-22,3.977333333333333,86,0.515,0.0097,0.43,0.000133,0.129,-9.935,0.0372,91.844,4
129,Chamber Of Reflection,Salad Days,Mac DeMarco,2014-04-01,3.86205,82,0.538,0.262,0.557,0.914,0.102,-8.678,0.0914,131.03,4
130,Shut up My Moms Calling,Shut up My Moms Calling,Hotel Ugly,2020-02-10,2.74285,85,0.485,0.325,0.409,0.0,0.103,-10.711,0.101,138.419,4
131,Counting Stars,Native,OneRepublic,2014-01-01,4.297316666666666,79,0.664,0.0654,0.705,0.0,0.115,-4.972,0.0382,122.017,4
132,Hold Me Closer,Hold Me Closer,Elton John,2022-08-26,3.37075,90,0.667,0.0746,0.75,0.000198,0.197,-4.602,0.0906,126.041,4
133,Cry,Cry,Cigarettes After Sex,2019-10-25,4.28,78,0.409,0.763,0.399,0.654,0.112,-10.456,0.0275,142.823,4
134,Yellow,Parachutes,Coldplay,2000-07-10,4.4462166666666665,90,0.429,0.00239,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
135,Chicken Fried,The Foundation,Zac Brown Band,2008-11-17,3.9691,79,0.566,0.645,0.713,0.0,0.114,-4.25,0.0418,169.861,4
136,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,3.0484333333333336,90,0.801,0.0777,0.601,3.23e-05,0.145,-7.574,0.255,159.969,4
137,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-10-28,4.018433333333333,77,0.336,0.164,0.627,0.0,0.0708,-7.463,0.0384,150.273,4
138,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,3.6747833333333335,84,0.735,0.629,0.449,0.0,0.113,-7.507,0.347,122.947,4
139,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,4.879983333333334,89,0.69,0.324,0.521,0.0,0.0534,-8.492,0.339,100.028,4
140,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Bach: Unaccompanied Cello Suites (Remastered),Johann Sebastian Bach,1983,2.5246666666666666,65,0.257,0.9,0.109,0.867,0.0762,-21.356,0.0597,75.02,4
141,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,3.67155,83,0.63,0.215,0.804,0.0,0.253,-4.183,0.0363,123.146,4
142,Up Down (feat. Florida Georgia Line),If I Know Me,Morgan Wallen,2018-04-27,3.28755,74,0.589,0.0813,0.882,0.0,0.146,-3.039,0.035,129.915,4
143,Classic,MKTO,MKTO,2012,2.923766666666667,82,0.72,0.0384,0.791,0.0,0.157,-4.689,0.124,102.071,4
144,Rockin' Around The Christmas Tree,Merry Christmas From Brenda Lee,Brenda Lee,1964-10-19,2.104433333333333,71,0.589,0.614,0.472,0.0,0.505,-8.749,0.0502,67.196,4
145,Money,The Dark Side of the Moon,Pink Floyd,1973-03-01,6.380566666666667,74,0.468,0.024,0.536,0.00199,0.269,-10.422,0.144,126.256,1
146,Chop Suey!,Toxicity,System Of A Down,2001-09-04,3.504,84,0.417,0.000278,0.934,0.0015,0.132,-3.908,0.119,127.066,4
147,Carnival of the Animals: The Swan,Saint-Saëns: Carnival of the Animals: The Swan,Camille Saint-Saëns,2020-09-25,2.5024333333333333,63,0.213,0.992,0.0656,0.969,0.0699,-24.81,0.0467,65.023,3
148,Country Girl (Shake It For Me),Tailgates & Tanlines,Luke Bryan,2011-01-01,3.759333333333333,78,0.645,0.0293,0.904,0.0,0.0834,-4.532,0.0462,105.97,4
149,She Said (Big Jet Plane),She Said (Big Jet Plane),Trinix,2021-07-23,2.8958333333333335,71,0.808,0.108,0.538,0.0743,0.0555,-10.211,0.0608,108.026,4
150,Dah Dah DahDah,Who is Nardo Wick?? (Deluxe),Nardo Wick,2022-07-22,2.5296,83,0.66,0.149,0.373,0.0,0.106,-10.234,0.595,167.912,4
151,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo,2022-04-08,3.6113333333333335,88,0.697,0.598,0.336,0.00528,0.107,-10.395,0.0424,82.029,3
152,Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.84,89,0.564,0.356,0.903,0.0,0.175,-3.221,0.307,78.293,4
153,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,3.214,92,0.733,0.121,0.67,0.0,0.121,-6.009,0.0751,100.964,4
154,dumb dumb,dumb dumb,mazie,2021-07-08,2.0876,72,0.782,0.213,0.479,0.000362,0.0781,-8.385,0.0448,122.07,4
155,Die For You,Starboy,The Weeknd,2016-11-25,4.33755,89,0.582,0.111,0.525,0.0,0.134,-7.163,0.0627,133.249,4
156,Romantic Homicide,Romantic Homicide,d4vd,2022-07-20,2.2105,93,0.571,0.453,0.544,0.00805,0.322,-10.613,0.0299,132.052,4
157,Doja,Doja,Central Cee,2022-07-21,1.6232,93,0.911,0.38,0.573,0.0,0.403,-7.43,0.288,140.04,4
158,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,2.4257,86,0.897,0.0852,0.662,0.0,0.534,-6.903,0.292,112.511,4
159,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,3.1648833333333335,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4
160,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,2.9206333333333334,99,0.561,0.00383,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,4
161,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,3.9402166666666667,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,4
162,Dreams and Nightmares,Dreams and Nightmares (Deluxe Edition),Meek Mill,2012-10-26,3.844883333333333,74,0.631,0.468,0.774,0.0,0.281,-2.459,0.3,79.745,4
163,DESPECHÁ,DESPECHÁ,ROSALÍA,2022-07-28,2.61695,95,0.919,0.184,0.623,1.63e-05,0.0609,-6.521,0.0992,130.037,4
164,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
165,Dandelions,Safe Haven,Ruth B.,2017-05-05,3.8953333333333333,91,0.609,0.0157,0.692,0.0,0.0864,-2.958,0.0259,116.959,3
